２/に	ヲ格,ガ格#ト節,ガ格
引っ越せる/ひっこせる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
引っ繰り返せる/ひっくりかえせる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
引っ掛かれる/ひっかかれる	ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
引っこ抜く/ひっこぬく	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
引っくるめる/ひっくるめる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
引っ込む/ひっこむ	ニ格,ガ格#ガ格#ガ格
引っ掻ける/ひっかける	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
引っ掻ける/ひっかける	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
引っ掛ける/ひっかける	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
引っ掛ける/ひっかける	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
引っ繰り返る/ひっくりかえる	ガ格#ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格
引っ繰り返す/ひっくりかえす	ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
引ける/ひける	ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格
引っ掛かる/ひっかかる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
引っ越す/ひっこす	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
引っ手繰る/ひったくる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
引っ張れる/ひっぱれる	ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ヲ格,ガ格
引っ張り出せる/ひっぱりだせる	ガ格#ヲ格,ガ格
引っ付ける/ひっつける	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格
引火/いんか	ニ格,ガ格
引っ提げる/ひっさげる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
引っ付く/ひっつく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格
引っ込める/ひっこめる	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
引っ叩く/ひっぱたく	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
引越/ひっこし	ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
引っ張り出す/ひっぱりだす	ヲ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
引っ掻く/ひっかく	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格
引っ張る/ひっぱる	ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
飲み干せる/のみほせる	ガ格#ガ格#ヲ格,ガ格#ガ格
飲/いん	ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格
引率/いんそつ	ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
飲み干す/のみほす	ニ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
引用/いんよう	ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
飲酒/いんしゅ	ガ格#ヲ格,ガ格#ニ格,ガ格
飲食/いんしょく	ヲ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格
飲用/いんよう	ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格
飲める/のめる	ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
飲む/のむ	ト節,ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
隠居/いんきょ	ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ガ格
隠し持つ/かくしもつ	ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
陰干し/かげぼし	ガ格#ガ格#ガ格#ガ格
陰る/かげる	ガ格#ニ格,ガ格#ニ格,ガ格
隠れる/かくれる	ガ格
隠し撮り/かくしどり	ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
院/いん	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
隠せる/かくせる	ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
籠れる/こもれる	ニ格,ガ格#ニ格,ガ格
隠れる/かくれる	ニ格,ガ格#ニ格,ガ格
隠す/かくす	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
羽ばたける/はばたける	ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格
羽織れる/はおれる	ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
雨宿り/あまやどり	ガ格#ガ格#ガ格
鵜/う	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
雨/う	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
卯/う	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
雨漏り/あまもり	ガ格#ガ格#ガ格
右往左往/うおうさおう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格
羽ばたく/はばたく	ニ格,ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ガ格
窺う/うかがう	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
渦巻く/うずまく	ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
窺える/うかがえる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格
羽化/うか	ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ガ格
右折/うせつ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
羽織る/はおる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
噂/うわさ	ト節,ガ格
運び出す/はこびだす	ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
運び入れる/はこびいれる	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
云々/うんぬん	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
運べる/はこべる	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
運ぶ/はこぶ	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
運搬/うんぱん	ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
運送/うんそう	ヲ格,ガ格#ヲ格,ガ格
運動/うんどう	ガ格#ガ格#ガ格#ヲ格,ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ト節,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格
運休/うんきゅう	ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格#ガ格
運航/うんこう	ヲ格,ガ格#ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
運行/うんこう	ガ格#ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
運用/うんよう	ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
運転/うんてん	ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
営める/いとなめる	ガ格#ヲ格,ガ格
這える/はえる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
生える/はえる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
映える/はえる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
営/営	ガ格#ガ格
餌/えさ	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
曳く/曳く	ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
営巣/えいそう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
営む/いとなむ	ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
影響/えいきょう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
映える/はえる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
営業/えいぎょう	ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
永続/えいぞく	ガ格
英訳/えいやく	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
永住/えいじゅう	ニ格,ガ格#ニ格,ガ格
詠う/うたう	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格#ヲ格,ガ格
永眠/えいみん	ガ格#ガ格#ニ格,ガ格
栄える/さかえる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
洩れる/洩れる	ニ格,ガ格#ガ格#ト節,ニ格,ガ格
泳げる/およげる	ニ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格#ガ格
泳ぐ/およぐ	ニ格,ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ガ格
越冬/えっとう	ガ格#ニ格,ガ格
謁/謁	ニ格,ガ格#ニ格,ガ格
悦ぶ/悦ぶ	ガ格
詠める/よめる	ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格
読める/よめる	ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ヲ格,ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ニ格,ヲ格,ガ格#ガ格
詠める/よめる	ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ヲ格,ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ニ格,ヲ格,ガ格#ガ格
詠唱/詠唱	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
液化/えきか	ヲ格,ガ格#ニ格,ヲ格,ガ格
益/えき	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
謁見/謁見	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
読む/よむ	ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
詠む/よむ	ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
詠む/よむ	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
越せる/こせる	ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格
越す/こす	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
越える/こえる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
延伸/えんしん	ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
厭う/いとう	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
園/えん	ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
延ばせる/のばせる	ガ格#ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
閲覧/えつらん	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
延びる/のびる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
延ばす/のばす	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
延期/えんき	ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#によって,ニ格,ヲ格,ガ格#によって,ニ格,ガ格
添う/そう	ニ格,ヲ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格
沿う/そう	ニ格,ヲ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格
沿える/そえる	ニ格,ガ格#ニ格,ガ格
演/演	ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格
援護/えんご	ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
反る/そる	ニ格,ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格
剃る/そる	ニ格,ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格
添う/そう	ニ格,ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格
沿う/そう	ニ格,ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格
演ずる/えんずる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
援助/えんじょ	ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格
援用/えんよう	ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
沿う/そう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
添える/そえる	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#によって,ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
添える/そえる	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#によって,ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
沿える/そえる	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#によって,ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
演る/演る	ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格
延長/えんちょう	ニ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#によって,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
